id	TV	antc	saldores	TC	cons	edad	ESTADO_CIVIL	SEXO	antig_pp	ingresos	endeud	riesgo	conscateg
2053	0	88	508.1876775	1	3004.030913	58	2	1	29	32761.25693	0.193135998	Bajo	1
2059	0	31	17217.57196	1	93591.68156	58	2	2	27	54013.21275	0.363287089	Bajo	3
2066	1	115	7892.900436	1	63132.76222	58	2	1	5	61403.4322	0.488681402	Bajo	3
2067	0	114	30626.51142	1	163554.9602	58	1	2	17	52143.32831	0.438600952	Bajo	4
2071	0	57	31545.37718	1	126612.364	58	2	1	38	65033.00317	0.252444171	Bajo	4
2073	1	46	3934.147335	1	15701.95164	57	1	2	18	40941.42135	0.362226944	Bajo	1
2075	0	45	10040.21596	1	49209.3102	58	1	1	28	23555.67201	0.330828286	Bajo	2
2079	0	105	3387.559401	1	18394.57856	58	1	2	25	26837.24959	0.319229772	Bajo	1
2080	1	104	8234.340116	1	91902.11767	58	2	1	1	46531.35504	0.259531336	Bajo	3
2081	0	115	2065.3811	1	13793.2311	56	1	1	8	10708.91633	0.408769497	Bajo	1
2083	1	104	24417.9843	1	165480.0029	57	1	1	14	52520.32114	0.534209864	Bajo	4
2084	1	104	12659.85117	1	159880.9067	57	1	2	10	54580.44196	0.212931163	Bajo	4
2087	0	78	5443.19301	1	42412.81167	56	1	2	3	8326.321645	0.556106158	Bajo	2
2088	0	22	12572.05438	1	66347.49156	57	2	2	25	35472.12537	0.519008829	Bajo	3
2090	0	113	26501.71565	1	197315.4506	57	3	1	29	97978.69659	0.072245756	Bajo	4
2092	1	76	9980.193154	1	41572.20335	57	2	1	13	56463.08615	0.452099187	Bajo	2
2095	0	97	7742.571699	1	39638.88166	57	1	2	25	9718.295172	0.839768441	Bajo	2
2100	1	34	13335.4228	1	82064.11185	56	1	2	13	33470.00345	0.497019824	Bajo	3
2101	1	70	2776.427585	1	11524.70212	57	1	1	18	52211.76701	0.186457088	Bajo	1
2107	1	104	10955.62442	1	44237.69686	58	1	2	14	44218.35903	0.299464061	Bajo	2
2111	1	114	6355.780138	1	49373.46581	57	1	2	29	73135.44907	0.136607083	Bajo	2
2112	0	32	2599.388643	1	18831.19213	57	2	1	16	30169.86621	0.318179861	Bajo	1
2117	1	114	13644.53273	1	202376.7524	57	2	1	16	62819.76526	0.494558313	Bajo	4
2119	0	56	6523.430039	1	46812.26351	58	2	2	10	25563.59382	0.488935475	Bajo	2
2120	1	104	2848.568266	1	11920.11723	57	2	2	1	39117.93603	0.406963793	Bajo	1
2121	1	71	28058.79345	1	220168.4019	57	3	2	8	92171.84703	0.403508935	Bajo	4
2122	0	63	96.15674007	1	416.7832727	57	1	2	12	24598.49217	0.156335943	Bajo	1
2130	1	97	20204.01576	1	100831.5579	57	2	2	17	53297.50636	0.357999652	Bajo	4
2134	1	113	12164.11669	1	57628.28606	57	1	1	38	39875.40163	0.373672911	Bajo	3
2135	1	114	40348.78343	1	116039.1349	57	3	2	25	45683.41117	0.465962471	Bajo	4
2136	0	77	14255.32922	1	66183.90023	57	3	2	34	30393.74196	0.473767651	Bajo	3
2137	0	113	3588.810972	1	22007.61372	58	3	2	23	34858.49704	0.107868623	Bajo	2
2143	0	74	1681.228217	1	832.525888	56	1	1	8	22444.41314	0.622301411	Bajo	1
2146	0	47	7828.78438	1	27684.38806	57	2	2	34	8326.321645	0.741614656	Bajo	2
2148	0	28	15022.42088	1	21193.35715	57	2	1	9	38678.3044	0.242847889	Bajo	2
2153	1	104	5339.404783	1	21254.4553	57	2	1	42	38253.75247	0.426720541	Bajo	2
2154	0	19	47663.43682	1	137700.6954	58	1	1	18	76551.5841	0.306131163	Bajo	4
2164	0	55	10002.02383	1	53336.89261	56	1	2	24	12480.20265	0.690616228	Bajo	3
2166	1	67	28270.12783	1	107599.9472	56	2	2	10	55451.58539	0.395806627	Bajo	4
2169	0	114	8663.773157	1	50147.63625	57	2	2	11	25410.47673	0.419443988	Bajo	3
2170	0	104	2030.657832	1	14030.05003	57	2	2	37	24070.70221	0.122870705	Bajo	1
2175	0	97	27274.9472	1	101199.1991	57	2	2	27	26510.13582	0.403639188	Bajo	4
2176	0	63	7878.689681	1	3905.355815	57	2	1	41	20547.84921	0.189936209	Bajo	1
2178	0	114	349.984633	1	1216.516891	54	1	1	2	21377.23344	0.199513267	Bajo	1
2179	0	105	32989.56677	1	75556.41886	57	2	1	5	32630.17942	0.435648774	Bajo	3
2184	0	46	7860.489741	1	33329.17952	57	2	2	6	23343.39604	0.371303419	Bajo	2
2188	0	114	2112.441938	1	10024.16671	57	3	2	9	28686.25443	0.285040032	Bajo	1
2194	0	28	3041.876152	1	8773.978771	57	3	1	21	35120.65206	0.125877399	Bajo	1
2197	1	104	19968.97751	1	133130.9954	56	1	1	41	100197.7344	0.259574318	Bajo	4
2198	0	69	3844.246102	1	13863.00139	57	1	2	3	8972.429357	0.540969619	Bajo	1
2199	0	39	4551.395904	1	1516.469031	57	3	2	51	33666.03972	0.196036936	Bajo	1
2201	1	110	38196.57681	1	97411.94166	57	2	1	17	73662.07905	0.341423082	Bajo	3
2202	1	26	16489.38358	1	118113.5423	57	1	2	20	69268.84455	0.52645032	Bajo	4
2206	1	104	4266.614236	1	14083.10043	56	3	2	20	63750.06757	0.266134867	Bajo	1
2207	1	104	5824.686436	1	20308.16244	57	3	2	22	37651.72392	0.402816476	Bajo	2
2208	0	110	3141.98739	1	19806.78528	57	1	2	1	87732.61145	0.380742004	Bajo	1
2211	0	81	4895.795676	1	28213.37732	57	1	1	27	39195.65456	0.325623557	Bajo	2
2215	1	104	11394.6662	1	62862.78564	56	2	2	18	98964.67784	0.123382601	Bajo	3
2219	1	24	39607.62726	1	100929.4433	56	3	2	20	45313.37821	0.297587805	Bajo	4
2234	0	63	7459.940723	1	49148.84801	57	1	2	11	17237.27217	0.204945491	Bajo	2
2235	0	47	3948.994047	1	26001.79542	56	1	2	47	8282.242484	0.427253501	Bajo	2
2237	0	45	10297.47802	1	104196.0379	56	2	1	26	23324.8364	0.477306047	Bajo	4
2239	1	103	11889.18658	1	48440.34535	57	1	2	6	134850.9153	0.258505071	Bajo	2
2240	0	72	50941.13749	1	103543.8463	56	2	2	7	51815.05455	0.241187177	Bajo	4
2241	1	114	7648.207202	1	20407.84585	56	2	2	17	63581.87077	0.15967526	Bajo	2
2242	1	115	4837.888875	1	78761.65278	56	1	2	5	42507.39157	0.296647837	Bajo	3
2243	0	39	10242.12661	1	48211.70137	56	2	1	17	32666.13874	0.373011257	Bajo	2
2245	0	107	7708.588455	1	35812.22267	57	1	2	8	38775.74254	0.279959615	Bajo	2
2247	1	111	26868.09642	1	115285.7915	56	1	2	8	73340.76517	0.524160946	Bajo	4
2248	0	28	22361.39097	1	128793.5888	57	3	2	16	24548.61312	0.446303454	Bajo	4
2252	0	110	17254.59623	1	79703.42688	56	3	1	17	87263.98037	0.2258407	Bajo	3
2254	0	114	4202.128168	1	46928.4899	56	3	2	13	28614.3358	0.282932139	Bajo	2
2255	1	113	23537.10253	1	92367.97141	56	2	1	28	41824.16457	0.541278012	Bajo	3
2256	1	104	2330.748726	1	57711.85084	56	2	1	30	56470.04602	0.102979746	Bajo	3
2257	0	111	7248.190076	1	52611.17286	56	1	1	33	29868.27195	0.269430658	Bajo	3
2260	1	87	9327.388792	1	41339.02325	56	1	2	14	41062.05906	0.24619283	Bajo	2
2263	1	110	21698.64255	1	121359.75	56	1	2	16	43361.13533	0.443141436	Bajo	4
2265	0	35	2450.967777	1	10344.33073	58	2	2	35	5411.297085	0.230900322	Bajo	1
2271	1	114	8035.782691	1	19517.12409	56	1	2	8	44852.86696	0.20410143	Bajo	1
2273	0	39	6519.949618	1	13178.65355	56	1	2	43	35508.08469	0.235730946	Bajo	1
2278	1	104	9328.198193	1	170472.3103	56	2	2	5	60366.41192	0.436609596	Bajo	4
2279	1	91	1876.490226	1	20491.69971	55	2	1	31	43821.64658	0.224424798	Bajo	2
2284	0	114	1719.119707	1	10622.79907	55	3	2	14	22433.97334	0.259331955	Bajo	1
2291	1	113	7739.079715	1	67039.85247	56	1	2	2	52421.72302	0.280454284	Bajo	3
2297	1	88	2904.544069	1	22153.09762	56	2	1	12	59338.67146	0.361467892	Bajo	2
2300	0	17	25963.8808	1	104886.6759	56	1	2	21	46096.36331	0.628868114	Bajo	4
2306	1	90	13916.94213	1	62748.65559	56	2	2	35	43579.21119	0.075284144	Bajo	3
2307	0	104	2963.144641	1	2140.285304	55	1	2	41	34008.23321	0.184931783	Bajo	1
2309	1	104	5749.678166	1	20824.36318	56	2	2	18	48383.83981	0.269188943	Bajo	2
2310	1	102	20780.20461	1	120631.8333	56	1	2	5	37817.60076	0.493887185	Bajo	4
2311	1	23	13120.2958	1	119980.3587	56	1	1	24	57809.82054	0.442855108	Bajo	4
2314	0	15	4872.184317	1	10724.30942	55	1	1	14	22933.92383	0.285877801	Bajo	1
2315	0	104	17768.78503	1	43154.08347	54	3	2	36	40355.63249	0.235880713	Bajo	2
2320	0	47	9904.96519	1	54203.87582	56	1	2	35	36932.5376	0.342162128	Bajo	3
2329	1	62	17536.93814	1	129176.1043	56	2	2	27	60720.20519	0.528386887	Bajo	4
2331	0	100	3133.384623	1	12432.84911	56	1	1	31	11654.29835	0.453918583	Bajo	1
2338	0	26	5817.216828	1	109959.0596	56	1	2	17	15725.82092	0.41120897	Bajo	4
2339	1	104	30563.05444	1	133173.778	55	2	1	42	48930.18942	0.430971504	Bajo	4
2345	1	108	11566.77937	1	41096.71543	55	3	1	28	36549.74488	0.330232632	Bajo	2
2347	0	102	17880.64414	1	94549.99979	56	2	1	13	38794.30219	0.40630726	Bajo	3
2352	1	107	12938.65484	1	81317.94896	55	1	2	31	70039.46795	0.142939053	Bajo	3
2360	1	110	7859.35658	1	27181.78524	55	3	2	23	9532.698702	0.46186055	Bajo	2
2361	1	65	5367.606597	1	41801.77352	56	3	1	44	26517.09568	0.29682371	Bajo	2
2362	1	114	24710.06213	1	183034.1003	55	2	2	16	48713.27354	0.505998571	Bajo	4
2366	0	104	14425.73108	1	37632.12426	56	2	2	13	35663.52173	0.299461701	Bajo	2
2370	1	113	20613.45662	1	72027.66538	55	2	1	3	87635.17331	0.290185443	Bajo	3
2371	1	114	22918.85956	1	267586.5234	55	2	1	16	79000.29753	0.503572425	Bajo	4
2372	0	96	24450.1753	1	100508.7229	55	2	1	11	32685.85836	0.647082831	Bajo	4
2374	1	75	16379.43808	1	126586.2435	55	1	1	23	21818.02505	0.606543676	Bajo	4
2387	0	97	28259.49	1	96914.23456	55	1	1	11	41220.97604	0.447912539	Bajo	3
2388	1	95	23416.64066	1	121987.8908	55	2	2	35	54654.68055	0.229747437	Bajo	4
2390	0	104	8701.144319	1	64935.13452	55	1	1	16	21316.91458	0.495161343	Bajo	3
2393	1	114	6674.799433	1	29946.41871	55	2	1	16	268459.4943	0.045582129	Bajo	2
2394	0	52	4065.316414	1	37797.56566	55	1	1	11	37440.60793	0.303513957	Bajo	2
2395	1	114	79398.23676	1	132573.5014	55	3	2	16	50372.042	0.339408636	Bajo	4
2396	0	63	5729.188779	1	18786.61731	55	1	2	30	31442.36201	0.360104405	Bajo	1
2400	1	99	451.4024742	1	1699.451283	55	2	2	36	53414.66413	0.168753258	Bajo	1
2401	1	104	5669.559112	1	20926.90261	54	1	1	0	49730.5742	0.531055001	Bajo	2
2403	0	104	15995.79396	1	123817.8637	55	1	2	30	34403.78569	0.554816076	Bajo	4
2406	1	39	13733.17361	1	131737.2083	55	1	2	15	35040.61358	0.508859243	Bajo	4
2407	1	105	35841.95078	1	48225.1721	55	1	1	25	63284.91641	0.184873252	Bajo	2
2410	0	101	141.7028439	1	832.525888	55	2	1	4	26751.41123	0.299211257	Bajo	1
2411	1	104	11983.84015	1	63238.31957	55	3	2	13	46908.34787	0.381476545	Bajo	3
2417	1	104	13139.21264	1	88090.76675	55	2	2	39	56084.93335	0.313740848	Bajo	3
2419	1	51	16040.09128	1	48260.71633	55	3	2	16	64594.53151	0.090971878	Bajo	2
2420	1	114	3772.914822	1	37715.57342	55	1	1	35	49137.82547	0.17423668	Bajo	2
2421	0	77	3631.188852	1	16389.80997	55	2	2	6	8326.321645	0.500696573	Bajo	1
2423	0	39	4352.260337	1	27829.39788	55	3	1	16	16475.16667	0.391056115	Bajo	2
2428	1	83	19276.57036	1	168766.2023	54	2	1	21	41961.04196	0.569873943	Bajo	4
2429	1	114	6139.647167	1	25033.78751	54	2	1	38	60942.92095	0.105503255	Bajo	2
2430	0	101	11069.49546	1	57594.6497	54	2	2	18	32716.01779	0.427640051	Bajo	3
2433	1	104	3043.101815	1	20046.62212	54	1	2	10	44280.99784	0.090396605	Bajo	2
2437	0	104	13710.98448	1	75585.96197	55	3	2	13	29153.72554	0.474519556	Bajo	3
2438	1	97	2559.0227	1	20158.41184	54	2	2	27	31130.32795	0.297930842	Bajo	2
2439	0	40	4457.135473	1	14844.27191	54	1	1	31	13695.85953	0.189253833	Bajo	1
2440	1	113	12513.47693	1	96023.35092	54	2	1	37	94697.119	0.123446109	Bajo	3
2441	0	76	3006.551616	1	14825.34351	55	1	2	38	8326.321645	0.029438562	Bajo	1
2444	1	28	4176.70144	1	16833.99722	54	2	2	39	46718.11149	0.242366729	Bajo	1
2445	1	106	7033.710594	1	63465.44882	54	2	2	34	53632.73998	0.287161303	Bajo	3
2448	0	10	2597.515459	1	2411.330295	55	2	1	10	14432.44552	0.359567594	Bajo	1
2450	0	78	5017.864784	1	21338.02009	55	1	2	25	8326.321645	0.504137643	Bajo	2
2452	1	113	4776.397588	1	31523.90495	54	2	2	20	45631.21216	0.215653567	Bajo	2
2456	0	22	1525.268367	1	11092.13554	55	1	1	22	16376.56854	0.203064173	Bajo	1
2458	0	68	11388.31819	1	13915.12676	54	2	1	12	26914.96812	0.388663535	Bajo	1
2459	0	69	6867.34417	1	16492.96224	55	2	1	34	22088.29991	0.140802962	Bajo	1
2464	0	110	407.4982965	1	520.32868	54	1	1	34	17240.75211	0.068357667	Bajo	1
2466	1	113	9719.254103	1	44650.67595	54	2	2	23	68783.21184	0.398304805	Bajo	2
2470	0	19	6512.144688	1	45323.87719	54	2	1	6	36250.47057	0.37688522	Bajo	2
2471	1	36	7704.055814	1	9182.737419	55	3	2	19	56402.7673	0.308950518	Bajo	1
2472	1	104	286.3657798	1	100119.6789	55	3	2	37	37761.92182	0.561909443	Bajo	4
2475	1	104	42114.25864	1	244948.7731	54	1	2	16	58541.76662	0.784939962	Bajo	4
2479	0	22	48401.03163	1	165951.941	54	2	2	20	45790.12914	0.683631919	Bajo	4
2480	1	114	1095.89314	1	52206.01026	55	3	1	29	52196.6873	0.124578648	Bajo	3
2482	1	110	12261.29096	1	91502.26127	55	1	2	9	40982.02058	0.330600623	Bajo	3
2484	0	106	2317.139241	1	11810.30475	54	1	2	22	24240.05899	0.207974829	Bajo	1
2488	0	35	10486.75047	1	28008.40251	54	1	2	8	21348.23399	0.427235927	Bajo	2
2489	0	15	10407.42925	1	45983.37645	55	1	2	44	18935.47988	0.347363391	Bajo	2
2491	0	113	51276.92293	1	179593.6177	55	2	1	32	51561.01938	0.285214848	Bajo	4
2492	1	100	12216.6352	1	76689.79879	54	2	1	37	54959.75475	0.426392571	Bajo	3
2498	1	106	21203.91404	1	86670.55853	54	1	2	14	55391.26654	0.510084185	Bajo	3
2505	1	12	5810.383178	1	185642.922	54	2	1	8	44046.6823	0.716456863	Bajo	4
2506	0	46	15096.8857	1	44276.91808	55	1	2	20	77980.67692	0.134965043	Bajo	2
2507	1	113	2789.377988	1	15000.63646	54	1	1	0	43391.29476	0.06144358	Bajo	1
2509	0	104	1214.215882	1	44914.77166	55	1	1	17	34444.38492	0.245048158	Bajo	2
2510	0	110	14326.14017	1	77717.52887	55	2	2	42	38809.3819	0.445543235	Bajo	3
2511	1	114	27736.77937	1	192822.7848	54	2	1	14	69207.76377	0.180554448	Bajo	4
2514	0	100	3117.404751	1	7891.489767	55	3	2	2	39032.09767	0.072432167	Bajo	1
2520	0	95	25997.58654	1	17803.1036	55	1	1	27	26971.80704	0.238912352	Bajo	1
2521	1	115	34950.84745	1	171303.1399	54	1	1	35	47894.32912	0.411399889	Bajo	4
2522	1	28	4179.996855	1	102023.0066	55	1	1	7	35163.57124	0.51657584	Bajo	4
2528	1	113	4740.841795	1	22736.49129	54	3	2	8	36723.74157	0.408221675	Bajo	2
2529	1	114	13122.4118	1	108842.6192	54	3	1	15	68804.09145	0.216539493	Bajo	4
2530	1	114	29570.90328	1	191751.1783	54	2	2	25	49643.57585	0.502096409	Bajo	4
2532	1	114	13970.96381	1	79481.69748	54	2	2	15	21425.95251	0.826613069	Bajo	3
2535	1	104	21789.74632	1	100887.4412	55	2	1	19	51885.81321	0.441484239	Bajo	4
2537	1	104	24270.33814	1	95809.93522	54	2	1	12	46827.14942	0.323472962	Bajo	3
2538	0	46	18356.10892	1	47407.86293	54	1	1	31	24195.97983	0.300328395	Bajo	2
2539	0	78	7427.102201	1	47055.29978	55	3	2	22	18350.85099	0.554458281	Bajo	2
2541	1	46	21975.09896	1	133382.6148	54	1	1	32	78123.35421	0.32078843	Bajo	4
2542	1	114	1586.909971	1	24698.88084	55	1	2	27	110295.3423	0.082302701	Bajo	2
2544	0	114	23368.99011	1	92865.22178	55	1	2	12	88121.20406	0.411242497	Bajo	3
2545	0	24	12990.0055	1	63997.58318	54	1	2	14	21030.40003	0.611892444	Bajo	3
